"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.563,1.563,132.184,170.575,155.796
0.001,0.026,1.557,1.557,132.203,170.592,155.804
0.003,0.052,1.551,1.551,132.220,170.609,155.812
0.004,0.077,1.546,1.546,132.237,170.624,155.820
0.005,0.100,1.543,1.543,132.253,170.638,155.830
0.006,0.121,1.542,1.542,132.267,170.649,155.841
0.008,0.141,1.543,1.543,132.279,170.658,155.854
0.009,0.159,1.547,1.547,132.289,170.663,155.869
0.010,0.178,1.555,1.555,132.296,170.664,155.886
0.011,0.199,1.566,1.566,132.299,170.660,155.907
0.013,0.223,1.579,1.579,132.299,170.651,155.930
0.014,0.254,1.592,1.592,132.294,170.637,155.956
0.015,0.288,1.604,1.604,132.287,170.619,155.985
0.016,0.322,1.613,1.613,132.280,170.601,156.012
0.018,0.351,1.616,1.616,132.275,170.586,156.037
0.019,0.372,1.612,1.612,132.275,170.579,156.057
0.020,0.386,1.600,1.600,132.281,170.582,156.069
0.021,0.409,1.577,1.577,132.296,170.599,156.071
0.023,0.454,1.546,1.546,132.323,170.633,156.061
0.024,0.526,1.512,1.512,132.363,170.688,156.037
0.025,0.632,1.479,1.479,132.420,170.767,155.995
0.026,0.776,1.450,1.450,132.495,170.874,155.935
0.028,0.956,1.430,1.430,132.587,171.007,155.856
0.029,1.166,1.424,1.424,132.693,171.163,155.762
0.030,1.399,1.434,1.434,132.810,171.335,155.658
0.031,1.647,1.466,1.466,132.933,171.519,155.546
0.033,1.904,1.516,1.516,133.060,171.710,155.431
0.034,2.162,1.580,1.580,133.186,171.904,155.316
0.035,2.414,1.654,1.654,133.308,172.095,155.206
0.036,2.653,1.733,1.733,133.423,172.278,155.103
0.038,2.872,1.814,1.814,133.526,172.449,155.012
0.039,3.065,1.891,1.891,133.614,172.602,154.936
0.040,3.227,1.960,1.960,133.685,172.735,154.877
0.041,3.362,2.017,2.017,133.742,172.850,154.833
0.043,3.473,2.063,2.063,133.786,172.947,154.803
0.044,3.563,2.097,2.097,133.820,173.028,154.784
0.045,3.635,2.123,2.123,133.846,173.095,154.773
0.046,3.694,2.141,2.141,133.866,173.149,154.768
0.048,3.741,2.154,2.154,133.883,173.193,154.768
0.049,3.778,2.163,2.163,133.898,173.228,154.770
0.050,3.810,2.169,2.169,133.914,173.255,154.772
0.051,3.839,2.175,2.175,133.934,173.276,154.771
0.053,3.869,2.181,2.181,133.959,173.292,154.767
0.054,3.902,2.186,2.186,133.989,173.305,154.759
0.055,3.940,2.192,2.192,134.023,173.316,154.748
0.056,3.981,2.197,2.197,134.061,173.326,154.736
0.058,4.025,2.202,2.202,134.102,173.335,154.724
0.059,4.071,2.208,2.208,134.146,173.344,154.713
0.060,4.120,2.213,2.213,134.193,173.356,154.704
0.061,4.171,2.219,2.219,134.241,173.370,154.697
0.063,4.224,2.224,2.224,134.291,173.387,154.695
0.064,4.279,2.230,2.230,134.342,173.409,154.698
0.065,4.337,2.234,2.234,134.392,173.437,154.706
0.066,4.399,2.239,2.239,134.443,173.469,154.720
0.068,4.464,2.242,2.242,134.493,173.506,154.739
0.069,4.531,2.244,2.244,134.542,173.546,154.762
0.070,4.599,2.245,2.245,134.589,173.588,154.787
0.071,4.668,2.245,2.245,134.635,173.631,154.815
0.073,4.735,2.243,2.243,134.678,173.674,154.844
0.074,4.800,2.241,2.241,134.718,173.716,154.873
0.075,4.862,2.238,2.238,134.755,173.756,154.902
0.076,4.919,2.236,2.236,134.789,173.793,154.929
0.078,4.970,2.234,2.234,134.818,173.827,154.953
0.079,5.015,2.232,2.232,134.844,173.856,154.975
0.080,5.055,2.233,2.233,134.868,173.882,154.996
0.081,5.092,2.235,2.235,134.891,173.904,155.014
0.083,5.127,2.240,2.240,134.915,173.923,155.031
0.084,5.163,2.245,2.245,134.942,173.938,155.048
0.085,5.200,2.251,2.251,134.973,173.952,155.064
0.086,5.242,2.257,2.257,135.010,173.962,155.081
0.088,5.290,2.262,2.262,135.054,173.971,155.098
0.089,5.345,2.266,2.266,135.106,173.978,155.116
0.090,5.411,2.268,2.268,135.169,173.984,155.136
0.091,5.488,2.266,2.266,135.242,173.989,155.159
0.093,5.575,2.262,2.262,135.324,173.992,155.185
0.094,5.671,2.255,2.255,135.416,173.995,155.217
0.095,5.777,2.246,2.246,135.514,173.998,155.255
0.096,5.892,2.236,2.236,135.619,174.000,155.303
0.098,6.016,2.226,2.226,135.729,174.003,155.360
0.099,6.149,2.215,2.215,135.842,174.006,155.429
0.100,6.291,2.205,2.205,135.959,174.009,155.511
0.101,6.444,2.197,2.197,136.077,174.013,155.607
0.103,6.607,2.189,2.189,136.195,174.019,155.719
0.104,6.782,2.182,2.182,136.312,174.025,155.848
0.105,6.965,2.175,2.175,136.428,174.033,155.991
0.106,7.153,2.167,2.167,136.540,174.042,156.141
