"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.500,1.500,143.164,160.365,204.116
0.003,0.048,1.509,1.520,143.148,160.378,204.160
0.007,0.097,1.519,1.540,143.132,160.391,204.204
0.010,0.146,1.529,1.561,143.116,160.402,204.248
0.014,0.194,1.540,1.584,143.100,160.412,204.293
0.017,0.244,1.551,1.607,143.085,160.419,204.340
0.021,0.294,1.563,1.631,143.070,160.424,204.387
0.024,0.345,1.575,1.655,143.057,160.425,204.437
0.027,0.398,1.588,1.681,143.044,160.421,204.488
0.031,0.453,1.602,1.711,143.032,160.414,204.541
0.034,0.511,1.616,1.745,143.022,160.401,204.597
0.038,0.573,1.628,1.770,143.012,160.382,204.655
0.041,0.640,1.635,1.774,143.005,160.357,204.717
0.045,0.711,1.635,1.755,142.999,160.327,204.781
0.048,0.786,1.632,1.725,142.997,160.290,204.847
0.051,0.866,1.627,1.701,142.999,160.249,204.915
0.055,0.949,1.624,1.692,143.006,160.203,204.983
0.058,1.035,1.623,1.691,143.019,160.154,205.053
0.062,1.124,1.625,1.690,143.039,160.101,205.122
0.065,1.217,1.631,1.684,143.068,160.045,205.191
0.068,1.314,1.637,1.676,143.105,159.987,205.259
0.072,1.415,1.645,1.671,143.153,159.928,205.325
0.075,1.521,1.650,1.672,143.212,159.867,205.389
0.079,1.633,1.647,1.680,143.282,159.806,205.451
0.082,1.751,1.630,1.698,143.363,159.745,205.511
0.086,1.871,1.601,1.726,143.448,159.683,205.568
0.089,1.991,1.568,1.759,143.534,159.620,205.624
0.092,2.108,1.541,1.795,143.615,159.556,205.679
0.096,2.219,1.528,1.831,143.686,159.491,205.734
0.099,2.322,1.538,1.863,143.743,159.424,205.789
0.103,2.418,1.578,1.889,143.780,159.356,205.845
0.106,2.510,1.642,1.905,143.794,159.286,205.903
0.110,2.604,1.709,1.910,143.778,159.214,205.962
0.113,2.712,1.761,1.898,143.728,159.140,206.023
0.116,2.846,1.786,1.873,143.640,159.063,206.088
0.120,3.010,1.783,1.837,143.512,158.985,206.155
0.123,3.203,1.750,1.796,143.351,158.905,206.224
0.127,3.419,1.700,1.755,143.163,158.825,206.294
0.130,3.651,1.652,1.720,142.956,158.746,206.364
0.134,3.894,1.626,1.698,142.735,158.669,206.431
0.137,4.142,1.627,1.691,142.509,158.595,206.496
0.140,4.386,1.652,1.701,142.282,158.525,206.556
0.144,4.621,1.696,1.727,142.063,158.461,206.612
0.147,4.840,1.751,1.765,141.858,158.402,206.660
0.151,5.036,1.803,1.809,141.673,158.351,206.702
0.154,5.202,1.844,1.853,141.516,158.309,206.734
0.158,5.333,1.870,1.888,141.391,158.275,206.757
0.161,5.432,1.885,1.908,141.296,158.251,206.771
0.164,5.503,1.892,1.908,141.228,158.234,206.778
0.168,5.548,1.892,1.896,141.184,158.226,206.778
0.171,5.572,1.890,1.889,141.160,158.225,206.773
0.175,5.585,1.888,1.899,141.154,158.231,206.764
0.178,5.604,1.887,1.918,141.161,158.244,206.751
0.182,5.633,1.887,1.932,141.180,158.263,206.737
0.185,5.672,1.889,1.928,141.205,158.287,206.722
0.188,5.716,1.886,1.908,141.235,158.316,206.708
0.192,5.764,1.873,1.877,141.266,158.350,206.695
0.195,5.813,1.844,1.839,141.295,158.388,206.684
0.199,5.861,1.805,1.801,141.320,158.428,206.676
0.202,5.904,1.766,1.766,141.342,158.466,206.671
0.205,5.942,1.732,1.736,141.358,158.499,206.667
0.209,5.969,1.708,1.713,141.369,158.524,206.666
0.212,5.984,1.696,1.695,141.374,158.539,206.666
0.216,5.987,1.697,1.685,141.371,158.539,206.667
0.219,6.007,1.714,1.697,141.361,158.522,206.669
0.223,6.049,1.747,1.751,141.342,158.485,206.672
0.226,6.116,1.791,1.847,141.313,158.425,206.676
0.229,6.210,1.824,1.942,141.275,158.339,206.680
0.233,6.336,1.820,1.982,141.225,158.223,206.685
0.236,6.491,1.767,1.938,141.166,158.080,206.689
0.240,6.669,1.686,1.844,141.099,157.915,206.693
0.243,6.865,1.604,1.744,141.025,157.734,206.696
0.247,7.071,1.537,1.668,140.948,157.543,206.699
0.250,7.283,1.488,1.620,140.868,157.346,206.702
0.253,7.495,1.455,1.597,140.787,157.150,206.703
0.257,7.700,1.435,1.592,140.708,156.961,206.704
0.260,7.894,1.424,1.584,140.632,156.783,206.703
0.264,8.069,1.416,1.551,140.562,156.623,206.701
0.267,8.220,1.405,1.488,140.499,156.485,206.697
0.271,8.342,1.389,1.416,140.444,156.377,206.692
0.274,8.433,1.367,1.358,140.400,156.298,206.685
0.277,8.497,1.341,1.325,140.364,156.244,206.677
0.281,8.540,1.318,1.312,140.337,156.213,206.667
0.284,8.567,1.308,1.311,140.316,156.199,206.656
0.288,8.586,1.313,1.317,140.302,156.198,206.644
0.291,8.604,1.327,1.329,140.292,156.205,206.631
0.295,8.622,1.347,1.345,140.287,156.217,206.617
0.298,8.641,1.366,1.363,140.286,156.228,206.603
0.301,8.658,1.381,1.380,140.287,156.235,206.588
0.305,8.673,1.388,1.391,140.289,156.233,206.572
0.308,8.695,1.386,1.396,140.292,156.218,206.556
0.312,8.730,1.378,1.394,140.294,156.187,206.541
0.315,8.779,1.366,1.386,140.296,156.141,206.524
0.318,8.840,1.353,1.372,140.297,156.082,206.507
0.322,8.912,1.339,1.356,140.297,156.013,206.487
0.325,8.994,1.326,1.338,140.295,155.934,206.466
0.329,9.084,1.315,1.322,140.291,155.847,206.443
0.332,9.180,1.307,1.308,140.285,155.755,206.416
0.336,9.280,1.301,1.298,140.276,155.660,206.386
0.339,9.384,1.298,1.293,140.265,155.562,206.353
0.342,9.490,1.299,1.297,140.250,155.465,206.315
0.346,9.596,1.304,1.312,140.231,155.369,206.272
0.349,9.703,1.311,1.332,140.208,155.276,206.224
0.353,9.810,1.318,1.347,140.183,155.187,206.171
0.356,9.917,1.323,1.349,140.155,155.101,206.114
0.360,10.026,1.326,1.341,140.126,155.017,206.051
0.363,10.136,1.329,1.331,140.096,154.934,205.985
0.366,10.247,1.333,1.327,140.068,154.853,205.914
0.370,10.360,1.339,1.331,140.040,154.772,205.840
0.373,10.475,1.348,1.346,140.015,154.692,205.762
0.377,10.592,1.360,1.373,139.993,154.611,205.680
0.380,10.711,1.373,1.405,139.976,154.529,205.595
0.384,10.832,1.386,1.437,139.964,154.446,205.508
0.387,10.957,1.398,1.462,139.957,154.361,205.417
0.390,11.083,1.410,1.481,139.957,154.275,205.325
0.394,11.209,1.423,1.492,139.962,154.189,205.232
0.397,11.334,1.438,1.498,139.971,154.105,205.140
0.401,11.456,1.453,1.503,139.985,154.024,205.050
0.404,11.573,1.470,1.513,140.002,153.948,204.963
0.408,11.683,1.486,1.534,140.021,153.878,204.880
0.411,11.785,1.500,1.562,140.042,153.815,204.803
0.414,11.877,1.511,1.595,140.065,153.761,204.733
0.418,11.956,1.518,1.628,140.089,153.717,204.671
0.421,12.022,1.519,1.661,140.112,153.685,204.618
0.425,12.074,1.514,1.691,140.135,153.666,204.576
0.428,12.113,1.502,1.718,140.157,153.659,204.545
0.432,12.142,1.486,1.741,140.176,153.660,204.524
0.435,12.163,1.470,1.760,140.193,153.667,204.512
