"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.347,1.507,85.786,145.689,135.113
0.015,0.091,1.366,1.532,85.772,145.779,135.105
0.031,0.181,1.387,1.559,85.758,145.867,135.098
0.046,0.266,1.410,1.587,85.743,145.951,135.091
0.062,0.347,1.435,1.614,85.729,146.030,135.086
0.077,0.420,1.462,1.639,85.715,146.102,135.083
0.092,0.484,1.488,1.660,85.701,146.165,135.083
0.108,0.538,1.515,1.677,85.687,146.216,135.086
0.123,0.581,1.528,1.688,85.673,146.256,135.092
0.138,0.613,1.533,1.693,85.660,146.284,135.101
0.154,0.636,1.534,1.694,85.649,146.302,135.110
0.169,0.651,1.532,1.693,85.640,146.311,135.119
0.185,0.659,1.530,1.690,85.635,146.313,135.125
0.200,0.663,1.527,1.688,85.634,146.310,135.127
0.215,0.672,1.527,1.687,85.639,146.303,135.123
0.231,0.690,1.531,1.691,85.650,146.295,135.112
0.246,0.713,1.541,1.697,85.666,146.289,135.096
0.262,0.735,1.543,1.705,85.683,146.292,135.082
0.277,0.761,1.540,1.712,85.697,146.313,135.077
0.292,0.808,1.536,1.715,85.706,146.359,135.086
0.308,0.891,1.543,1.713,85.707,146.435,135.118
0.323,1.022,1.571,1.709,85.694,146.551,135.178
0.338,1.211,1.608,1.706,85.666,146.712,135.272
0.354,1.458,1.613,1.716,85.623,146.918,135.401
0.369,1.742,1.652,1.748,85.569,147.153,135.552
0.385,2.044,1.721,1.808,85.513,147.401,135.714
0.400,2.342,1.812,1.891,85.460,147.646,135.875
0.415,2.615,1.911,1.988,85.416,147.873,136.021
0.431,2.843,2.000,2.082,85.388,148.065,136.141
0.446,3.006,2.030,2.151,85.383,148.205,136.222
0.462,3.096,2.004,2.115,85.403,148.286,136.259
0.477,3.141,1.999,2.108,85.436,148.316,136.262
0.492,3.179,2.001,2.113,85.469,148.311,136.245
0.508,3.220,1.973,2.127,85.491,148.284,136.222
0.523,3.258,1.966,2.143,85.486,148.248,136.209
0.538,3.311,2.000,2.149,85.443,148.219,136.219
0.554,3.417,2.000,2.156,85.349,148.210,136.266
0.569,3.601,1.974,2.153,85.193,148.232,136.361
0.585,3.852,1.951,2.153,84.988,148.283,136.496
0.600,4.146,1.946,2.168,84.751,148.357,136.655
0.615,4.460,1.970,2.202,84.503,148.447,136.825
0.631,4.769,2.022,2.253,84.260,148.545,136.989
0.646,5.049,2.097,2.310,84.043,148.646,137.133
0.662,5.275,2.183,2.356,83.869,148.742,137.242
0.677,5.429,2.206,2.373,83.755,148.826,137.303
0.692,5.518,2.166,2.358,83.700,148.894,137.319
0.708,5.571,2.157,2.324,83.690,148.944,137.307
0.723,5.614,2.180,2.285,83.711,148.973,137.282
0.738,5.657,2.220,2.260,83.747,148.979,137.261
0.754,5.701,2.258,2.264,83.786,148.958,137.258
0.769,5.766,2.251,2.314,83.812,148.908,137.291
0.785,5.882,2.170,2.427,83.812,148.827,137.374
0.800,6.058,2.077,2.601,83.782,148.719,137.510
0.815,6.281,1.981,2.822,83.729,148.592,137.685
0.831,6.530,1.895,2.959,83.662,148.458,137.885
0.846,6.788,1.826,2.831,83.589,148.328,138.096
0.862,7.036,1.778,2.729,83.517,148.213,138.303
0.877,7.255,1.748,2.552,83.456,148.122,138.492
0.892,7.428,1.731,2.404,83.412,148.066,138.650
0.908,7.548,1.718,2.319,83.392,148.052,138.767
0.923,7.633,1.674,2.290,83.392,148.074,138.849
0.938,7.708,1.642,2.307,83.409,148.126,138.901
0.954,7.795,1.645,2.361,83.439,148.202,138.929
0.969,7.899,1.647,2.443,83.480,148.297,138.940
0.985,8.015,1.632,2.545,83.527,148.403,138.938
1.000,8.139,1.620,2.629,83.578,148.516,138.931
