"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.066,2.066,136.185,161.935,145.354
0.001,0.088,2.106,2.106,136.249,161.876,145.371
0.003,0.176,2.146,2.146,136.311,161.817,145.389
0.004,0.262,2.185,2.185,136.369,161.757,145.409
0.006,0.347,2.224,2.224,136.424,161.695,145.430
0.007,0.430,2.261,2.261,136.472,161.632,145.455
0.008,0.512,2.298,2.298,136.512,161.567,145.484
0.010,0.594,2.334,2.334,136.543,161.499,145.518
0.011,0.677,2.369,2.369,136.563,161.429,145.557
0.013,0.764,2.401,2.401,136.571,161.355,145.603
0.014,0.858,2.430,2.430,136.565,161.277,145.655
0.015,0.962,2.454,2.454,136.544,161.195,145.716
0.017,1.079,2.472,2.472,136.505,161.109,145.785
0.018,1.210,2.483,2.483,136.450,161.018,145.862
0.020,1.355,2.486,2.486,136.379,160.924,145.946
0.021,1.512,2.479,2.479,136.293,160.828,146.036
0.023,1.681,2.464,2.464,136.193,160.730,146.130
0.024,1.861,2.443,2.443,136.079,160.632,146.228
0.025,2.049,2.417,2.417,135.953,160.534,146.329
0.027,2.246,2.391,2.391,135.815,160.438,146.432
0.028,2.450,2.364,2.364,135.667,160.343,146.534
0.030,2.660,2.341,2.341,135.508,160.251,146.636
0.031,2.874,2.323,2.323,135.341,160.163,146.736
0.032,3.091,2.312,2.312,135.165,160.080,146.833
0.034,3.310,2.306,2.306,134.983,160.002,146.926
0.035,3.529,2.307,2.307,134.797,159.929,147.017
0.037,3.745,2.313,2.313,134.612,159.861,147.104
0.038,3.956,2.326,2.326,134.429,159.798,147.188
0.039,4.159,2.345,2.345,134.252,159.741,147.269
0.041,4.352,2.369,2.369,134.084,159.689,147.348
0.042,4.532,2.398,2.398,133.927,159.642,147.424
0.044,4.697,2.431,2.431,133.786,159.601,147.498
0.045,4.844,2.465,2.465,133.663,159.565,147.571
0.046,4.972,2.500,2.500,133.560,159.535,147.641
0.048,5.079,2.534,2.534,133.482,159.510,147.710
0.049,5.167,2.564,2.564,133.429,159.490,147.777
0.051,5.240,2.590,2.590,133.400,159.475,147.842
0.052,5.306,2.610,2.610,133.390,159.464,147.906
0.054,5.369,2.625,2.625,133.398,159.456,147.968
0.055,5.433,2.638,2.638,133.419,159.450,148.028
0.056,5.499,2.649,2.649,133.452,159.446,148.086
0.058,5.568,2.661,2.661,133.492,159.443,148.142
0.059,5.639,2.673,2.673,133.538,159.440,148.196
0.061,5.709,2.689,2.689,133.586,159.437,148.247
0.062,5.777,2.708,2.708,133.632,159.433,148.296
0.063,5.840,2.731,2.731,133.675,159.426,148.342
0.065,5.897,2.756,2.756,133.712,159.418,148.385
0.066,5.950,2.781,2.781,133.742,159.406,148.427
0.068,6.002,2.807,2.807,133.766,159.392,148.470
0.069,6.053,2.830,2.830,133.785,159.376,148.515
0.070,6.108,2.851,2.851,133.801,159.358,148.564
0.072,6.167,2.868,2.868,133.813,159.337,148.618
0.073,6.233,2.883,2.883,133.822,159.315,148.680
0.075,6.307,2.897,2.897,133.829,159.291,148.750
0.076,6.392,2.914,2.914,133.835,159.266,148.831
0.077,6.489,2.935,2.935,133.841,159.240,148.924
0.079,6.600,2.963,2.963,133.848,159.212,149.031
0.080,6.726,3.000,3.000,133.855,159.183,149.153
0.082,6.865,3.047,3.047,133.864,159.154,149.290
0.083,7.015,3.105,3.105,133.874,159.124,149.436
0.085,7.172,3.171,3.171,133.884,159.094,149.589
0.086,7.331,3.240,3.240,133.894,159.065,149.746
0.087,7.491,3.312,3.312,133.904,159.035,149.902
0.089,7.646,3.382,3.382,133.914,159.007,150.055
0.090,7.794,3.447,3.447,133.923,158.980,150.200
0.092,7.931,3.506,3.506,133.931,158.954,150.334
0.093,8.053,3.556,3.556,133.937,158.930,150.454
0.094,8.158,3.598,3.598,133.941,158.908,150.556
0.096,8.241,3.634,3.634,133.943,158.888,150.637
0.097,8.302,3.663,3.663,133.942,158.872,150.695
0.099,8.343,3.687,3.687,133.940,158.858,150.734
0.100,8.368,3.705,3.705,133.937,158.847,150.757
0.101,8.381,3.720,3.720,133.933,158.839,150.765
0.103,8.387,3.731,3.731,133.928,158.835,150.764
0.104,8.397,3.738,3.738,133.923,158.835,150.755
0.106,8.412,3.743,3.743,133.919,158.839,150.741
