DOI,PDB ID,Deposition Date,Struct Count,Experimental Method
10.1038/s41586-020-2447-x,"['6WDD', '6WD7', '6WDE', '6WDC', '6WDB', '6WD4', '6WD5', '6WD6', '6WD3', '6WD0', '6WD1', '6WDL', '6WDM', '6WDH', '6WDI', '6WDJ', '6WDF', '6WDG', '6WDA', '6WD8', '6WD9', '6WD2', '6WDK']","['2020']",23,ELECTRON MICROSCOPY
10.1038/nature13737,"['4U4O', '4U50', '4U4N', '4U3N', '4U3M', '4U4U', '4U56', '4U55', '4U4R', '4U53', '4U6F', '4U4Q', '4U52', '4U51', '4U3U', '4U4Y', '4U4Z']","['2014']",17,X-RAY DIFFRACTION
10.1038/nsmb.2690,"['4V72', '4V71', '4V78', '4V77', '4V76', '4V75', '4V74', '4V73', '4V6Y', '4V79', '4V70', '4V6Z', '4V7A']","['2013']",13,ELECTRON MICROSCOPY
10.1016/j.jmb.2008.03.075,"['3CC2', '3CCJ', '3CCE', '3CCM', '3CCV', '3CCU', '3CD6', '3CCS', '3CC7', '3CC4', '3CCQ', '3CCR', '3CCL']","['2008']",13,X-RAY DIFFRACTION
10.1038/ncomms8251,"['4WZO', '4WRA', '4WQR', '4WR6', '4WRO', '4WQ1', '4WU1', '4WT1', '4WSM', '4WSD', '4WZD']","['2014']",11,X-RAY DIFFRACTION
10.1093/nar/gks1256,"['3J2A', '3J28', '3J2D', '3J2F', '3J2G', '3J29', '3J2B', '3J2E', '3J2C', '3J2H']","['2012']",10,ELECTRON MICROSCOPY
10.1016/j.molcel.2005.09.006,"['1VQM', '1VQ9', '1VQL', '1VQO', '1VQP', '1VQ5', '1VQ4', '1VQ8', '1VQK']","['2004']",9,X-RAY DIFFRACTION
10.1261/rna.040030.113,"['4JI2', '4JI3', '4JI7', '4JI6', '4JI0', '4JI1', '4JI8', '4JI5', '4JI4']","['2013']",9,X-RAY DIFFRACTION
10.1016/j.cell.2016.08.074,"['5LMO', '5LMR', '5LMS', '5LMP', '5LMQ', '5LMV', '5LMT', '5LMU', '5LMN']","['2016']",9,ELECTRON MICROSCOPY
10.1073/pnas.1409436111,"['4LT8', '4LSK', '1VVJ', '4L47', '4LEL', '4LNT', '4LFZ', '4L71', '4P70']","['2013', '2014']",9,X-RAY DIFFRACTION
10.1016/j.cell.2016.10.046,"['5LZW', '5LZV', '5LZU', '5LZS', '5LZT', '5LZZ', '5LZY', '5LZX']","['2016']",8,ELECTRON MICROSCOPY
10.1073/pnas.1605127113,"['5JC9', '5IT8', '5J88', '5J8A', '5J7L', '5J5B', '5J91']","['2016']",7,X-RAY DIFFRACTION
10.1038/s41586-018-0193-0,"['6G53', '6G4W', '6G5H', '6G5I', '6G51', '6G18', '6G4S']","['2018']",7,ELECTRON MICROSCOPY
10.1128/AAC.03389-14,"['4U1V', '4U27', '4U1U', '4U26', '4U25', '4U24', '4U20']","['2014']",7,X-RAY DIFFRACTION
10.1038/s41467-019-10608-z,"['6OT3', '6OSK', '6ORL', '6OUO', '6OSQ', '6OST', '6ORE']","['2019']",7,ELECTRON MICROSCOPY
10.1038/ncomms2346,"['4DR1', '4DR6', '4DR5', '4DR4', '4DR3', '4DR2', '4DR7']","['2012']",7,X-RAY DIFFRACTION
10.1016/j.cell.2017.11.039,"['6EM5', '6EM4', '6EM3', '6EM1', '6EMG', '6EMF', '6ELZ']","['2017']",7,ELECTRON MICROSCOPY
10.1038/s41594-018-0030-z,"['5WNP', '5WNR', '5WNQ', '5WNV', '5WNS', '5WNT', '5WNU']","['2017']",7,X-RAY DIFFRACTION
10.1038/s41594-019-0236-8,"['6OM0', '6OLZ', '6OLF', '6OLG', '6OLI', '6OM7', '6OLE']","['2019']",7,ELECTRON MICROSCOPY
10.1073/pnas.1201288109,"['4V6Q', '4V6P', '4V6S', '4V6R', '4V6N', '4V6O']","['2011']",6,ELECTRON MICROSCOPY
10.1093/nar/gky346,"['5WDT', '5WE4', '5WF0', '5WFK', '5WFS', '5WE6']","['2017']",6,ELECTRON MICROSCOPY
10.1038/nature10913,"['4V8B', '4V8D', '4V87', '4V8F', '4V8E', '4V8C']","['2011']",6,X-RAY DIFFRACTION
10.1073/pnas.1715501114,"['5NDW', '5NDV', '5NDK', '5NDJ', '5NDG', '5OBM']","['2017']",6,X-RAY DIFFRACTION
10.1016/j.molcel.2018.05.003,"['6GC0', '6GC8', '6GC6', '6GC4', '6GC7', '6GBZ']","['2018']",6,ELECTRON MICROSCOPY
10.1073/pnas.1909831116,"['6SPD', '6SPE', '6SPC', '6SPF', '6SPG', '6SPB']","['2019']",6,ELECTRON MICROSCOPY
10.1038/nature20560,"['5LZA', '5LZC', '5LZB', '5LZE', '5LZF', '5LZD']","['2016']",6,ELECTRON MICROSCOPY
10.7554/eLife.44904,"['6QTZ', '6QT0', '6RI5', '6RZZ', '6QIK', '6S05']","['2019']",6,ELECTRON MICROSCOPY
10.1016/j.molcel.2019.06.032,"['6RXX', '6RXY', '6RXZ', '6RXV', '6RXU', '6RXT']","['2019']",6,ELECTRON MICROSCOPY
10.1016/j.molcel.2020.06.032,"['6YLG', '6YLE', '6YLF', '6YLH', '6YLY', '6YLX']","['2020']",6,ELECTRON MICROSCOPY
10.1038/s41467-019-08880-0,"['6N8O', '6N8L', '6N8J', '6N8K', '6N8N', '6N8M']","['2018']",6,ELECTRON MICROSCOPY
10.15252/embj.2019102226,"['6P5K', '6P4G', '6P4H', '6P5I', '6P5J', '6P5N']","['2019']",6,ELECTRON MICROSCOPY
10.1038/nature22397,"['5UYK', '5UYQ', '5UYP', '5UYN', '5UYM', '5UYL']","['2017']",6,ELECTRON MICROSCOPY
10.1038/ncomms10457,"['5EL6', '5EL5', '5EL4', '5EL7', '5E7K', '5E81']","['2015']",6,X-RAY DIFFRACTION
10.1016/j.cell.2005.02.005,"['1YIJ', '1YJ9', '1YJN', '1YHQ', '1YI2']","['2005']",5,X-RAY DIFFRACTION
10.7554/eLife.46850,"['6OG7', '6OGG', '6OGF', '6OGI', '6OFX']","['2019']",5,ELECTRON MICROSCOPY
10.1126/science.aau7735,"['6HIZ', '6HIW', '6HIV', '6HIY', '6HIX']","['2018']",5,ELECTRON MICROSCOPY
10.1093/nar/gkw018,"['5HCQ', '5HCP', '5HD1', '5HAU', '5HCR']","['2016', '2015']",5,X-RAY DIFFRACTION
10.1038/35101544,"['1J5A', '1JZZ', '1JZY', '1JZX', '1K01']","['2002', '2001']",5,X-RAY DIFFRACTION
10.1038/nsmb1271,"['4V52', '4V5Y', '4V55', '4V54', '4V53']","['2007']",5,X-RAY DIFFRACTION
10.1038/ncomms10471,"['5GAE', '5GAD', '5GAF', '5GAH', '5GAG']","['2015']",5,ELECTRON MICROSCOPY
10.1128/mBio.03117-19,"['6V3D', '6V3E', '6V3A', '6V3B', '6V39']","['2019']",5,ELECTRON MICROSCOPY
10.7554/eLife.14874,"['5JUO', '5JUU', '5JUS', '5JUT', '5JUP']","['2016']",5,ELECTRON MICROSCOPY
10.1038/s41467-018-05465-1,"['6GXP', '6GXN', '6GXO', '6GWT', '6GXM']","['2018']",5,ELECTRON MICROSCOPY
10.1016/J.MOLCEL.2014.12.016,"['4D67', '4D5Y', '4D5L', '4D61', '4D5N']","['2014']",5,ELECTRON MICROSCOPY
10.1261/rna.046953.114,"['4TUE', '4TUB', '4TUD', '4TUC', '4TUA']","['2014']",5,X-RAY DIFFRACTION
10.1073/pnas.172404099,"['1Q7Y', '1Q86', '1M90', '1Q81', '1Q82']","['2003', '2002']",5,X-RAY DIFFRACTION
10.1371/journal.pbio.3000780,"['6Z6K', '6Z6L', '6Z6N', '6Z6M', '6Z6J']","['2020']",5,ELECTRON MICROSCOPY
10.1016/j.jmb.2019.02.002,"['6J45', '6IZ7', '6IZI', '6IY7', '6J0A']","['2019', '2018']",5,ELECTRON MICROSCOPY
10.1073/pnas.1007988107,"['4V7U', '4V7T', '4V7S', '4V7V']","['2010']",4,X-RAY DIFFRACTION
10.1016/j.jmb.2019.12.016,"['6MPI', '6MPF', '6DTI', '6MKN']","['2018']",4,X-RAY DIFFRACTION
10.1016/j.molcel.2018.08.037,"['6HCJ', '6HCM', '6HCQ', '6HCF']","['2018']",4,ELECTRON MICROSCOPY
10.1073/pnas.2004170117,"['6OJ2', '6OPE', '6OF6', '6ORD']","['2019']",4,X-RAY DIFFRACTION
10.1038/s42003-020-0780-0,"['6SWC', '6SWE', '6SWD', '6SW9']","['2019']",4,ELECTRON MICROSCOPY
10.1038/NSMB.2003,"['4V5R', '4V5S', '4V5P', '4V5Q']","['2010']",4,X-RAY DIFFRACTION
10.1038/NCOMMS4112,"['4B3T', '4B3S', '4B3R', '4B3M']","['2012']",4,X-RAY DIFFRACTION
10.1126/science.1236086,"['4V9M', '4V9K', '4V9J', '4V9L']","['2013']",4,X-RAY DIFFRACTION
10.1073/pnas.1517952112,"['4WFB', '4WF9', '4WFA', '4WCE']","['2014']",4,X-RAY DIFFRACTION
10.1016/j.molcel.2011.07.040,"['3J0P', '3J0L', '3J0Q', '3J0O']","['2011']",4,ELECTRON MICROSCOPY
10.1073/pnas.1008685107,"['4V7Z', '4V7Y', '4V7X', '4V7W']","['2010']",4,X-RAY DIFFRACTION
10.1093/nar/gkz760,"['6OXI', '6NY6', '6OTR', '6OXA']","['2019']",4,X-RAY DIFFRACTION
10.1093/emboj/20.8.1829,"['1I94', '1I97', '1I96', '1I95']","['2001']",4,X-RAY DIFFRACTION
10.1093/nar/gky1178,"['6BZ8', '6BZ6', '6BZ7', '6BUW']","['2017']",4,X-RAY DIFFRACTION
10.1038/s41598-019-48019-1,"['6S0Z', '6S0X', '6S13', '6S12']","['2019']",4,ELECTRON MICROSCOPY
10.1126/science.aav9370,"['6Q95', '6Q98', '6Q9A', '6Q97']","['2018']",4,ELECTRON MICROSCOPY
10.1038/s41598-018-31850-3,"['5ZEU', '5ZET', '5ZEB', '5ZEP']","['2018']",4,ELECTRON MICROSCOPY
10.1016/j.cell.2014.11.049,"['4WQF', '4WPO', '4WQY', '4WQU']","['2014']",4,X-RAY DIFFRACTION
10.1016/S0022-2836(03)00668-5,"['1K73', '1NJI', '1KC8', '1N8R']","['2001', '2002']",4,X-RAY DIFFRACTION
10.1038/cr.2017.104,"['5XXU', '5XY3', '5XXB', '5XYI']","['2017']",4,ELECTRON MICROSCOPY
10.1016/S1097-2765(02)00570-1,"['1K9M', '1K8A', '1M1K', '1KD1']","['2001', '2002']",4,X-RAY DIFFRACTION
10.1016/S1097-2765(03)00009-1,"['1NJM', '1NJP', '1NJN', '1NJO']","['2003']",4,X-RAY DIFFRACTION
10.1038/nature12302,"['4V9I', '4JYA', '4K0K', '4JV5']","['2013']",4,X-RAY DIFFRACTION
10.7554/eLife.17029,"['5KPS', '5KPX', '5KPV', '5KPW']","['2016']",4,ELECTRON MICROSCOPY
10.1016/S0092-8674(02)01086-3,"['1N34', '1N32', '1N33', '1N36']","['2002']",4,X-RAY DIFFRACTION
10.1016/j.cell.2014.05.024,"['3J7Q', '3J7R', '3J7O', '3J7P']","['2014']",4,ELECTRON MICROSCOPY
10.1038/nsmb.3148,"['4X66', '4X65', '4X64', '4X62']","['2014']",4,X-RAY DIFFRACTION
10.1038/nsmb.2871,"['1VY4', '1VY5', '1VY6', '1VY7']","['2014']",4,X-RAY DIFFRACTION
10.7554/eLife.40486,"['6MTC', '6MTE', '6MTD', '6MTB']","['2018']",4,ELECTRON MICROSCOPY
